"CCUS ID";"MT ID";"Name";"Address";"City";"State";"zip";
823640;2878;"Norton Road KinderCare";"1145 Norton Rd.";"Galloway";"OH";43119;
823641;2882;"Grove City KinderCare";"2274 Stringtown Rd.";"Grove City";"OH";43123;
823642;340301;"Alpha Park KinderCare";"679-H Alpha Dr.";"Cleveland";"OH";44143;8002077019
823643;2897;"Ridge Mill KinderCare";"3700 Ridge Mill Dr.";"Hilliard";"OH";43026;
823644;2898;"Avery Road KinderCare";"4705 Avery Rd.";"Hilliard";"OH";43026;
823645;2896;"Cemetery Road KinderCare";"4780 Cemetery Rd.";"Hilliard";"OH";43026;
823646;5005;"Hudson Darrow Road KinderCare";"5812 Darrow Rd.";"Hudson";"OH";44236;
823647;2161;"Polaris Parkway KinderCare";"8694 Oak Creek Dr.";"Lewis Center";"OH";43035;
823648;340181;"Macedonia KinderCare";"926 E. Aurora Rd.";"Macedonia";"OH";44056;
823649;1663;"Landerhaven KinderCare";"200 Allen Bradley Dr.";"Cleveland";"OH";44124;8002077019
823650;3743;"N Ridgeville KinderCare";"7171 Lear Nagel Rd.";"North Ridgeville";"OH";44039;8002077019
823651;2680;"New Albany KinderCare";"5524 New Albany Road East";"New Albany";"OH";43054;
823652;5042;"North Canton KinderCare";"6625 Market Ave. North";"Canton";"OH";44721;8002077019
823655;3637;"Taylor Road KinderCare";"8295 Taylor Rd. SW";"Reynoldsburg";"OH";43068;
823656;2920;"Tussing Road KinderCare";"6720 Tussing Rd.";"Reynoldsburg";"OH";43068;
823657;5035;"Twinsburg KinderCare";"2572 Glenwood Dr";"Twinsburg";"OH";44087;
823658;340731;"West Chester KinderCare";"7819 West Chester Rd.";"West Chester";"OH";45069;
823659;2687;"Huber Village KinderCare";"861 Eastwind Dr.";"Westerville";"OH";43081;
823661;2686;"Sunbury KinderCare";"1231 Sunbury Rd.";"Westerville";"OH";43081;
823663;2940;"Park Road KinderCare";"401 Park Rd.";"Columbus";"OH";43085;8002077019
823664;3932;"Holland-Sylvania KinderCare";"2812 North Holland Sylvania Rd.";"Toledo";"OH";43615;
823665;3718;"Elyria KinderCare";"1216 Abbe Rd. North";"Elyria";"OH";44035;
823666;5043;"Canton KinderCare";"4540 Dressler Rd. Northwest";"Canton";"OH";44718;8002077019
823667;4412;"Brandt Pike KinderCare";"7161 Brandt Pike";"Dayton";"OH";45424;
823668;339851;"Centennial KinderCare";"6477 Centennial Dr.";"Reynoldsburg";"OH";43068;
823669;4455;"Englewood KinderCare";"418 West Wenger Rd.";"Englewood";"OH";45322;
823670;2852;"Tara Hill KinderCare";"6036 Tara Hill Dr.";"Dublin";"OH";43017;
823671;4475;"Kettering KinderCare";"1111 East Stroop Rd.";"Dayton";"OH";45429;8002077019
823672;339871;"Shannon Heights KinderCare";"5757 Shannon Heights Blvd.";"Dublin";"OH";43016;
823673;5506;"Perrysburg KinderCare";"610 West South Boundary St.";"Perrysburg";"OH";43551;
823674;3890;"Maumee KinderCare";"125 Chesterfield Lane";"Maumee";"OH";43537;
823675;339921;"Mount Carmel KinderCare";"5959 East Broad St.";"Columbus";"OH";43213;
823677;2942;"Worthington KinderCare";"77 Caren Ave.";"Columbus";"OH";43085;8002077019
823678;2512;"Solon KinderCare";"6140 Kruse Dr.";"Solon";"OH";44139;
823680;3898;"Sylvania KinderCare";"6367 River Crossings";"Sylvania";"OH";43560;
823681;2513;"Lyndhurst KinderCare";"5684 Mayfield Rd.";"Cleveland";"OH";44124;8002077019
823682;339601;"Derr Road KinderCare";"4560 Derr Rd.";"Springfield";"OH";45503;
823683;608;"Symmes Township KinderCare";"11737 Seven Gables Rd.";"Cincinnati";"OH";45249;8002077019
823685;2259;"Pickerington KinderCare";"1545 Cross Creeks Blvd.";"Pickerington";"OH";43147;
823686;2899;"Berry Leaf KinderCare";"3885 Berry Leaf Lane";"Hilliard";"OH";43026;
823687;5027;"Richfield KinderCare";"4195 Kinross Lakes Pkwy";"Richfield";"OH";44286;
823689;2928;"County Line Road KinderCare";"1255 County Line Rd.";"Westerville";"OH";43081;
823690;339611;"Maple Heights KinderCare";"5890 Lee Rd. South";"Maple Heights";"OH";44137;
823691;339621;"Mentor North KinderCare";"6145 Meadowbrook Dr.";"Mentor";"OH";44060;
823692;339631;"Kemper Road KinderCare";"1459 East Kemper Rd.";"Cincinnati";"OH";45246;
823693;339641;"Hamilton Avenue KinderCare";"10991 Hamilton Ave.";"Cincinnati";"OH";45231;
823694;2260;"Stonecreek Road KinderCare";"12910 Stonecreek Dr. Northwest";"Pickerington";"OH";43147;
823695;2645;"Cherry Creek KinderCare";"550 Fox Ridge St.";"Columbus";"OH";43228;
823696;2385;"Xenia KinderCare";"2025 Bellbrook Ave.";"Xenia";"OH";45385;
823697;4413;"Vandalia KinderCare";"8906 North Dixie Dr.";"Dayton";"OH";45414;
823698;469;"Loveland KinderCare";"10695 Loveland-Madeira Rd.";"Loveland";"OH";45140;
823699;339681;"Reynoldsburg KinderCare";"6601 Bartlett Rd.";"Reynoldsburg";"OH";43068;
823700;2646;"Cleveland Ave KinderCare";"5351 Cleveland Ave.";"Columbus";"OH";43231;
823701;16136;"Harrison KinderCare";"1190 Stone Dr.";"Harrison";"OH";45030;
823702;606;"Arborwood KinderCare";"9959 Arborwood Dr.";"Cincinnati";"OH";45251;
823703;339691;"Anderson Township Kindercare";"1184 Witt Rd.";"Cincinnati";"OH";45255;8002077019
823704;4198;"South Medina KinderCare";"190 Northland Dr.";"Medina";"OH";44256;
823705;339731;"Mentor South KinderCare";"7061 Wayside Dr.";"Mentor";"OH";44060;
823706;339511;"Hard Road KinderCare";"2001 Hard Rd.";"Columbus";"OH";43235;8002077019
823707;2943;"Sawbury KinderCare";"2680 Sawbury Blvd.";"Columbus";"OH";43235;8002077019
823708;339741;"Bethel Road KinderCare";"2001 Bethel Rd.";"Columbus";"OH";43220;
823709;3891;"Springfield KinderCare";"1561 Henthorne Dr.";"Maumee";"OH";43537;
823710;339521;"Middletown KinderCare";"1250 Elliott Dr.";"Middletown";"OH";45044;
823711;4414;"Burkhardt Road KinderCare";"5387 Burkhardt Rd.";"Dayton";"OH";45431;
823712;4201;"Wadsworth KinderCare";"135 Smokerise Dr.";"Wadsworth";"OH";44281;
823713;4493;"West Carrollton KinderCare";"1410 South Elm St.";"Dayton";"OH";45449;8002077019
823714;5006;"Hudson KinderCare";"53 Milford Rd.";"Hudson";"OH";44236;
823715;4205;"Brunswick KinderCare";"1211 Pearl Rd.";"Brunswick";"OH";44212;
823716;4415;"Centerville KinderCare";"1074 Governour's Square Dr.";"Dayton";"OH";45458;
823717;339801;"S. Cleveland Ave. KinderCare";"55 South Cleveland Ave.";"Westerville";"OH";43081;
823718;2927;"Charring Cross KinderCare";"574 Charring Cross Dr.";"Westerville";"OH";43081;
823719;340571;"Milford KinderCare";"5857 Cinema Dr";"Milford";"OH";45150;
823720;155;"Cornell Road KinderCare";"4500 Cornell Rd.";"Cincinnati";"OH";45241;
823721;4474;"Ebert KinderCare";"1875 Ebert Ave.";"Dayton";"OH";45439;8002077019
823722;4377;"Garnet Drive KinderCare";"8150 Garnet Dr.";"Dayton";"OH";45458;8002077019
823723;424;"Indian Springs KinderCare";"7939 Morris Rd.";"Hamilton";"OH";45011;
823724;2369;"Beavercreek KinderCare";"2221 N. Fairfield Rd.";"Dayton";"OH";45431;8002077019
823725;4364;"KinderCare Old Salem";"4000 Old Salem Rd.";"Englewood";"OH";45322;
823726;4463;"Huber Heights KinderCare";"7305 Old Troy Pike";"Dayton";"OH";45424;8002077019
823727;340321;"Blue Ash KinderCare";"9455 Plainfield Rd.";"Cincinnati";"OH";45236;
823728;340481;"Forest Park West KinderCare";"2291 Reliance Dr.";"Cincinnati";"OH";45240;8002077019
823729;4199;"Medina Road KinderCare";"3330 Medina Rd.";"Medina";"OH";44256;
823730;340221;"KinderCare of Avon";"35680 Detroit Rd.";"Avon";"OH";44011;
823973;170;"Little Lamb Child Care Learning Center";"3800 Clifton Avenue";"Cincinnati";"OH";45220;
824139;105781;"Learning Land Daycare & Preschool";"1 Carpenter Road";"Chester";"NY";10918;8454697428
824512;2857;"The Oxford School - Dublin";"5700 Blazer Pkwy";"Dublin";"OH";43017;6147922220
824948;473;"Son Rise Learning Center";"9781 Fields Ertel Road";"Loveland";"OH";45140;
825338;187211;"The Oxford School - Powell";"6055 Glick Road";"Powell";"OH";43065;6147616400
833159;220391;"Maryville KinderCare";"1752 West Lamar Alexander Pkwy";"Maryville";"TN";37801;
833722;220371;"Swiss Avenue KinderCare";"410 Swiss Ave.";"Nashville";"TN";37211;
833726;220171;"Hermitage KinderCare";"4771 Andrew Jackson Pkwy";"Hermitage";"TN";37076;
833727;220151;"Bell Road KinderCare";"592 Bell Rd.";"Antioch";"TN";37013;
834409;381104;"Childcare Network #143";"6501 Middle Valley Road";"Hixson";"TN";37343;4238426756
834410;381102;"Childcare Network #135";"1818 C Hamil Road";"Hixson";"TN";37343;4238774180
834411;381103;"Childcare Network #139";"8419 Ooltewah Harrison Road";"Ooltewah";"TN";37363;4232386700
834412;381105;"Childcare Network #152";"4108 Bennett Road";"Chattanooga";"TN";37412;4238673814
834413;381106;"Childcare Network #168";"1510 East 3rd Street";"Chattanooga";"TN";37404;4236290303
834414;381100;"Childcare Network #108";"1380 Gunbarrel Road";"Chattanooga";"TN";37421;4238946332
834415;381101;"Childcare Network #124";"1043 Grays Drive";"Chattanooga";"TN";37421;4238551664
834416;381099;"Childcare Network #34";"4650 Redlands Drive";"Chattanooga";"TN";37416;4238992821
834937;220241;"Cedar Bluff KinderCare";"9200 Gulf Park Dr.";"Knoxville";"TN";37923;8002077019
834938;220231;"Powell KinderCare";"3053 Staffordshire Blvd.";"Powell";"TN";37849;8002077019
