"id";"provider_id";"date";"type"
938;1807;"11-29-2018";"Annual"
1183;1807;"04-09-2019";"Monitoring"
1807;1807;"11-14-2019";"Annual"
665;1831;"09-20-2018";"Annual"
1318;1831;"05-09-2019";"Monitoring"
1701;1831;"09-20-2019";"Annual"
128;1974;"10-30-2017";"Renewal"
365;1974;"05-11-2018";"Monitoring"
862;1974;"11-29-2018";"Annual"
1355;1974;"05-21-2019";"Monitoring"
1810;1974;"11-15-2019";"Annual"
127;2013;"10-30-2017";"Renewal"
393;2013;"06-01-2018";"Monitoring"
867;2013;"11-29-2018";"Annual"
1353;2013;"05-21-2019";"Monitoring"
1811;2013;"11-15-2019";"Annual"
82;2713;"03-22-2019";"Initial"
1510;2713;"07-25-2019";"Monitoring"
2054;2713;"02-27-2020";"Annual"
130;2051;"10-11-2017";"Renewal"
881;2051;"12-05-2018";"Annual"
1397;2051;"06-04-2019";"Monitoring"
1865;2051;"12-30-2019";"Annual"
108;2727;"07-01-2019";"Initial"
1824;2727;"11-22-2019";"Monitoring"
572;2309;"05-22-2018";"Annual"
1252;2309;"04-25-2019";"Annual"
1602;2309;"08-29-2019";"Monitoring"
107;2737;"07-09-2019";"Initial"
89;2189;"11-09-2017";"Renewal"
402;2189;"06-12-2018";"Monitoring"
882;2189;"12-06-2018";"Annual"
1351;2189;"05-20-2019";"Monitoring"
1767;2189;"10-22-2019";"Annual"
55;2672;"06-19-2018";"Initial"
1098;2672;"03-21-2019";"Monitoring"
1537;2672;"08-02-2019";"Annual"
787;2559;"10-18-2018";"Annual"
1404;2559;"06-06-2019";"Monitoring"
1912;2559;"01-21-2020";"Monitoring"
198;2237;"11-13-2017";"Renewal"
793;2237;"10-10-2018";"Monitoring"
966;2237;"01-11-2019";"Annual"
1461;2237;"06-11-2019";"Monitoring"
200;2238;"11-16-2017";"Renewal"
778;2238;"10-12-2018";"Monitoring"
855;2238;"11-21-2018";"Annual"
1415;2238;"06-07-2019";"Monitoring"
1875;2238;"12-09-2019";"Annual"
39;2649;"04-10-2018";"Initial"
1357;2649;"05-21-2019";"Annual"
1670;2649;"09-12-2019";"Monitoring"
159;2574;"11-27-2017";"Renewal"
600;2574;"05-25-2018";"Monitoring"
904;2574;"12-20-2018";"Annual"
