"Referring Page URL";"Referring Page Title";"Link URL";"Link Anchor";"Correct link";"Does not have website other link";" "
"http://childcarecenter.us/provider_detail/community_christian_preschool_hemet_ca";"COMMUNITY CHRISTIAN PRESCHOOL | HEMET CA DAY CARE CENTER";"http://www.connect2ccc.org/school/preschool/";"http://www.connect2ccc.org/school/preschool/";"http://community.cc/preschool-2017/";;
"https://childcarecenter.us/provider_detail/community_christian_preschool_hemet_ca";"Community Christian Preschool | HEMET CA DAY CARE CENTER";"http://www.connect2ccc.org/school/preschool/";"http://www.connect2ccc.org/school/preschool/";"http://community.cc/preschool-2017/";;
"http://childcarecenter.us/provider_detail/coolidge_school_age_ch_care_livonia_mi";"Coolidge School Age Ch. Care | Livonia MI Child Care Center";"http://www.livoniapublicschools.org/programs.cfm?subpage=23330";"http://www.livoniapublicschools.org/programs.cfm?subpage=23330";"http://coolidge.livoniapublicschools.org/";;
"https://childcarecenter.us/provider_detail/coolidge_school_age_ch_care_livonia_mi";"Coolidge School Age Ch. Care | Livonia MI CHILD CARE CENTER";"http://www.livoniapublicschools.org/programs.cfm?subpage=23330";"http://www.livoniapublicschools.org/programs.cfm?subpage=23330";"http://coolidge.livoniapublicschools.org/";;
"https://childcarecenter.us/provider_detail/ywca_learning_adventure_child_care_center_cortland_ny";"Ywca Learning Adventure Child Care Center | Cortland NY";"http://www.cortlandywca.org/childedu.html";"http://www.cortlandywca.org/childedu.html";"http://cortlandywca.org/index.php/programs/child-care-programs.html";"https://www.facebook.com/pages/Learning-Adventure-Day-Care-Center/1029831140416982?_rdc=1&_rdr";
"https://childcarecenter.us/provider_detail/ywca_nursery_and_day_school_cortland_ny";"YWCA Nursery and Day School | Cortland NY Day Care Center";"http://www.cortlandywca.org/childedu.html";"http://www.cortlandywca.org/childedu.html#Nursery%20School";"http://cortlandywca.org/index.php/programs/child-care-programs.html";"https://www.facebook.com/pages/Learning-Adventure-Day-Care-Center/1029831140416982?_rdc=1&_rdr";
"http://childcarecenter.us/provider_detail/here_we_grow_child_care_center_cortland_ny";"Here We Grow Child Care Center | Cortland NY Day Care Center";"http://www.cortlandywca.org/childedu.html";"http://www.cortlandywca.org/childedu.html#Here%20We%20Grow";"http://cortlandywca.org/index.php/programs/child-care-programs.html";;
"https://childcarecenter.us/provider_detail/here_we_grow_child_care_center_cortland_ny";"Here We Grow Child Care Center | Cortland NY Day Care Center";"http://www.cortlandywca.org/childedu.html";"http://www.cortlandywca.org/childedu.html#Here%20We%20Grow";"http://cortlandywca.org/index.php/programs/child-care-programs.html";;
"https://childcarecenter.us/provider_detail/countryside_montessori_lapeer_mi";"Countryside Montessori | LAPEER MI CHILD CARE CENTER";"http://www.countrysidemontessoricenter.com/contact-countryside-montessori-center-lapeer-county-mi.html";"http://www.countrysidemontessoricenter.com/contact-countryside-montessori-center-lapeer-county-mi.html";"http://countrysidemontessoricenter.com/services/3744109";;
"https://childcarecenter.us/provider_detail/ymca_of_pueblo_cedar_ridge_pueblo_west_co";"Ymca Of Pueblo Cedar Ridge | Pueblo West CO";"http://www.puebloymca.org/programs.php?pid=2";"http://www.puebloymca.org/programs.php?pid=2";"http://cre.district70.org/";;
"https://childcarecenter.us/provider_detail/creative_garden_ns_llc_crofton_crofton_md";"Creative Garden NS LLC Crofton | Crofton MD Licensed Child Care Center";"http://www.creativegardenschools.com/schools.htm";"http://www.creativegardenschools.com/schools.htm";"http://creativegardenschools.com/crofton/2460115";;
