"ID";"Start";"End";"Disciplinary/Non-Disciplinary Action"
868761;"06/04/2018";"12/04/2018";"Nondisciplinary Corrective Action"
404778;"05/13/2015";"06/13/2015";"Civil Penalty"
404778;"05/19/2009";"05/19/2010";"Probation"
404777;"03/20/2013";"03/20/2014";"Probation"
404777;"07/16/2013";"08/15/2013";"Civil Penalty"
404304;"10/16/2018";"10/16/2019";"Probation"
404304;"05/30/2017";"11/30/2017";"Nondisciplinary Corrective Action"
404480;"07/11/2013";"08/26/2013";"Civil Penalty"
404480;"08/08/2008";"02/08/2009";"Nondisciplinary Corrective Action"
795655;"03/27/2017";"09/27/2017";"-Licensing Agreement"
654843;"09/07/2015";"12/07/2015";"Civil Penalty"
404395;"03/23/2007";"09/23/2007";"-Licensing Agreement"
404537;"01/11/2011";"07/11/2011";"-Licensing Agreement"
404457;"05/11/2017";"06/11/2017";"Civil Penalty"
404457;"09/20/2016";"10/20/2016";"Civil Penalty"
404457;"08/12/2015";"09/12/2015";"Civil Penalty"
404457;"06/29/2007";"12/29/2007";"Nondisciplinary Corrective Action"
405189;"04/07/2014";"04/21/2014";"-Licensing Agreement"
551942;"10/30/2018";"04/30/2019";"Nondisciplinary Corrective Action"
551942;"05/07/2015";"06/07/2015";"Civil Penalty"
722414;"08/31/2015";"02/28/2016";"-Licensing Agreement"
727027;"01/02/2014";"01/02/2015";"-Licensing Agreement"
500324;"03/31/2017";"08/08/2018";"-Licensing Agreement"
500324;"01/09/2013";"03/31/2017";"-Licensing Agreement"
404595;"09/28/2011";"11/17/2011";"Civil Penalty"
404595;"05/24/2007";"11/24/2007";"-Licensing Agreement"
438379;"03/07/2012";"03/07/2013";"Probation"
438379;"03/19/2012";"04/18/2012";"Civil Penalty"
471845;"10/25/2018";"04/25/2019";"Nondisciplinary Corrective Action"
471845;"05/19/2015";"06/19/2015";"Civil Penalty"
471845;"04/03/2014";"05/03/2014";"Civil Penalty"
740225;"04/20/2016";"05/23/2016";"-Licensing Agreement"
404749;"11/18/2015";"12/18/2015";"Civil Penalty"
576403;"01/20/2016";"02/05/2016";"Civil Penalty"
404096;"11/07/2006";"11/07/2007";"-Licensing Agreement"
405861;"02/08/2017";"03/08/2017";"Civil Penalty"
404608;"04/20/2015";"05/20/2015";"Civil Penalty"
404319;"10/22/2003";"08/21/2008";"-Licensing Agreement"
404600;"03/13/2006";"01/17/2018";"-Licensing Agreement"
404600;"01/27/2009";"01/01/2011";"-Licensing Agreement"
404600;"09/19/2005";"03/19/2006";"-Licensing Agreement"
611734;"08/01/2018";"08/01/2020";"-Licensing Agreement"
699624;"12/13/2015";"12/13/2016";"Probation"
696439;"01/20/2016";"02/05/2016";"Civil Penalty"
594132;"06/11/2009";"10/07/2009";"-Licensing Agreement"
638464;"05/07/2015";"06/07/2015";"Civil Penalty"
823630;"08/07/2017";"02/07/2018";"-Licensing Agreement"
405065;"09/12/2005";"10/12/2006";"Civil Penalty"
405065;"09/12/2005";"09/12/2006";"Probation"
437981;"01/11/2012";"01/11/2013";"Probation"
405100;"04/07/2010";"10/07/2010";"Nondisciplinary Corrective Action"
405080;"04/19/2016";"08/17/2016";"-Licensing Agreement"
443432;"05/07/2010";"05/07/2011";"Probation"
405164;"05/03/2018";"05/03/2019";"Probation"
405164;"07/31/2017";"01/30/2018";"-Licensing Agreement"
405164;"04/27/2015";"05/27/2015";"Civil Penalty"
405164;"06/15/2013";"07/26/2013";"Civil Penalty"
405457;"10/14/2003";"04/14/2004";"Probation"
405212;"07/02/2005";"01/02/2006";"-Licensing Agreement"
589785;"11/02/2018";"05/02/2019";"Nondisciplinary Corrective Action"
589785;"11/17/2014";"12/17/2014";"Civil Penalty"
696230;"11/30/2018";"05/30/2019";"Nondisciplinary Corrective Action"
557014;"03/14/2008";"09/14/2008";"-Licensing Agreement"
406260;"09/26/2008";"10/26/2008";"Civil Penalty"
414899;"09/23/2018";"09/23/2019";"Probation"
414899;"09/18/2018";"11/01/2018";"Civil Penalty"
414899;"06/16/2016";"07/16/2016";"Civil Penalty"
537311;"04/01/2014";"04/01/2015";"Probation"
537311;"10/29/2014";"01/09/2015";"Civil Penalty"
537311;"10/18/2014";"10/19/2014";"Suspension"
537311;"08/26/2014";"09/25/2014";"Civil Penalty"
537311;"08/04/2014";"09/03/2014";"Civil Penalty"
537311;"08/29/2013";"09/28/2013";"Civil Penalty"
553887;"04/22/2008";"10/22/2008";"Probation"
553887;"04/14/2008";"05/14/2008";"Civil Penalty"
496614;"02/14/2007";"03/04/2008";"-Licensing Agreement"
414626;"12/04/2002";"06/04/2003";"Probation"
406268;"07/24/2015";"08/24/2015";"Civil Penalty"
567522;"08/04/2015";"08/08/2015";"Suspension"
490132;"07/07/2008";"01/07/2009";"Nondisciplinary Corrective Action"
503721;"11/07/2014";"05/07/2015";"-Licensing Agreement"
555582;"11/08/2013";"12/08/2013";"Civil Penalty"
555582;"08/22/2013";"11/20/2013";"Civil Penalty"
546516;"02/05/2016";"02/24/2016";"Suspension"
546516;"05/18/2015";"06/18/2015";"Civil Penalty"
546516;"10/14/2008";"10/14/2009";"Probation"
489254;"04/27/2015";"05/27/2015";"Civil Penalty"
704985;"12/17/2015";"01/17/2016";"Civil Penalty"
704985;"10/03/2014";"04/03/2015";"Probation"
704985;"10/03/2014";"11/03/2014";"Civil Penalty"
858756;"05/07/2018";"02/22/2019";"Probation"
867879;"11/07/2018";"05/07/2019";"Nondisciplinary Corrective Action"
843226;"11/09/2018";"05/09/2019";"-Licensing Agreement"
855755;"10/30/2018";"01/11/2019";"-Licensing Agreement"
731011;"10/25/2017";"04/25/2018";"Nondisciplinary Corrective Action"
731026;"11/15/2016";"05/15/2017";"Nondisciplinary Corrective Action"
731030;"10/07/2015";"04/07/2016";"-Licensing Agreement"
730952;"05/17/2017";"11/17/2017";"Nondisciplinary Corrective Action"
731363;"03/13/2015";"03/23/2015";"Civil Penalty"
731373;"08/18/2015";"09/01/2016";"-Licensing Agreement"
853518;"10/18/2018";"04/18/2019";"-Licensing Agreement"
529609;"02/09/2015";"03/09/2015";"Civil Penalty"
406711;"01/14/2015";"07/14/2015";"Nondisciplinary Corrective Action"
406711;"05/06/2013";"11/06/2013";"-Licensing Agreement"
860155;"06/21/2018";"12/21/2018";"Nondisciplinary Corrective Action"
405587;"09/14/2018";"09/14/2019";"Probation"
405587;"01/04/2018";"07/04/2018";"Nondisciplinary Corrective Action"
533046;"09/28/2018";"03/28/2019";"Nondisciplinary Corrective Action"
533046;"07/10/2018";"09/28/2018";"-Licensing Agreement"
531094;"11/08/2018";"05/08/2019";"Nondisciplinary Corrective Action"
531094;"02/26/2014";"08/26/2014";"Probation"
531094;"02/26/2014";"03/28/2014";"Civil Penalty"
531094;"01/09/2014";"02/25/2014";"-Licensing Agreement"
717690;"07/05/2017";"01/05/2018";"Nondisciplinary Corrective Action"
717690;"09/26/2016";"03/26/2017";"Nondisciplinary Corrective Action"
618373;"02/13/2014";"02/13/2015";"-Licensing Agreement"
618373;"12/27/2013";"02/13/2014";"-Licensing Agreement"
649272;"01/24/2012";"01/24/2013";"-Licensing Agreement"
420471;"05/17/2010";"11/17/2010";"Nondisciplinary Corrective Action"
406371;"02/03/2011";"08/03/2011";"Nondisciplinary Corrective Action"
638620;"05/09/2016";"11/09/2016";"Nondisciplinary Corrective Action"
638620;"11/09/2015";"05/09/2016";"Nondisciplinary Corrective Action"
638620;"04/01/2015";"10/01/2015";"-Licensing Agreement"
682688;"06/21/2017";"12/21/2017";"-Licensing Agreement"
682688;"10/09/2012";"04/09/2013";"Nondisciplinary Corrective Action"
497666;"06/01/2015";"03/01/2016";"Civil Penalty"
497666;"06/30/2015";"07/30/2015";"Civil Penalty"
497666;"01/28/2014";"02/27/2014";"Civil Penalty"
407139;"12/22/2016";"01/31/2017";"-Licensing Agreement"
407139;"06/04/2014";"12/04/2014";"-Licensing Agreement"
407139;"01/24/2011";"01/24/2013";"-Licensing Agreement"
407139;"08/14/2009";"08/14/2010";"Probation"
407139;"10/02/2009";"11/01/2009";"Civil Penalty"
407139;"04/26/2005";"04/26/2006";"-Licensing Agreement"
407139;"07/22/2004";"07/22/2005";"Probation"
407139;"05/10/2004";"05/10/2005";"-Licensing Agreement"
407139;"07/22/2004";"08/21/2004";"Civil Penalty"
407139;"03/05/2003";"07/02/2003";"Probation"
407139;"01/02/2003";"03/05/2003";"Probation"
407173;"11/17/2016";"05/17/2017";"Nondisciplinary Corrective Action"
407173;"11/09/2016";"11/17/2016";"-Licensing Agreement"
406563;"12/11/2018";"06/11/2019";"Nondisciplinary Corrective Action"
406563;"12/21/2016";"12/22/2016";"-Licensing Agreement"
