"OBJECTID";"Provider OBJECTID";"Type";"Visit Date";"Label";"URL"
2484;511;"Compliance Review";"03-18-2019";"03/19/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=522396&provider_action_date_of_visit=2019-03-19"
2487;511;"Compliance Review";"03-15-2016";"03/16/2016";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=522396&provider_action_date_of_visit=2016-03-16"
2500;514;"Compliance Review";"09-18-2018";"09/19/2018";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=528359&provider_action_date_of_visit=2018-09-19"
2503;514;"Compliance Review";"09-07-2016";"09/08/2016";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=528359&provider_action_date_of_visit=2016-09-08"
2501;514;"Compliance Review";"03-08-2018";"03/09/2018";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=528359&provider_action_date_of_visit=2018-03-09"
2499;514;"Compliance Review";"09-30-2018";"10/01/2018";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=528359&provider_action_date_of_visit=2018-10-01"
2498;514;"Compliance Review";"09-16-2019";"09/17/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=528359&provider_action_date_of_visit=2019-09-17"
2502;514;"Compliance Review";"09-10-2017";"09/11/2017";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=528359&provider_action_date_of_visit=2017-09-11"
2506;515;"Compliance Review";"01-09-2018";"01/10/2018";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=528361&provider_action_date_of_visit=2018-01-10"
2505;515;"Compliance Review";"01-27-2019";"01/28/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=528361&provider_action_date_of_visit=2019-01-28"
2507;515;"Compliance Review";"01-03-2017";"01/04/2017";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=528361&provider_action_date_of_visit=2017-01-04"
2508;515;"Compliance Review";"01-06-2016";"01/07/2016";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=528361&provider_action_date_of_visit=2016-01-07"
2504;515;"Compliance Review";"01-22-2020";"01/23/2020";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=528361&provider_action_date_of_visit=2020-01-23"
2509;516;"Compliance Review";"01-05-2020";"01/06/2020";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=528362&provider_action_date_of_visit=2020-01-06"
2511;516;"Compliance Review";"01-11-2018";"01/12/2018";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=528362&provider_action_date_of_visit=2018-01-12"
2512;516;"Compliance Review";"01-03-2017";"01/04/2017";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=528362&provider_action_date_of_visit=2017-01-04"
2510;516;"Compliance Review";"01-15-2019";"01/16/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=528362&provider_action_date_of_visit=2019-01-16"
2513;516;"Compliance Review";"01-10-2016";"01/11/2016";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=528362&provider_action_date_of_visit=2016-01-11"
2516;517;"Compliance Review";"01-15-2018";"01/16/2018";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=528363&provider_action_date_of_visit=2018-01-16"
2517;517;"Compliance Review";"01-02-2017";"01/03/2017";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=528363&provider_action_date_of_visit=2017-01-03"
2515;517;"Compliance Review";"01-29-2019";"01/30/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=528363&provider_action_date_of_visit=2019-01-30"
