"provider_id";"date";"type";"roi_url"
"0011J00001A5fkvQAB";" 5/21/2018";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000MOU0/Y0NtQ0GLSoCzWco0ox3BBduoQnnQDqYgyrwuMb6Skto"
"0011J00001A5fkyQAB";" 6/17/2020";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000Uh8b/hC6lblb3yNTRbLDsk2ovvAOLTBicTuRmLcUw2AeU26M"
"0011J00001A5fkyQAB";" 6/20/2019";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000MrDO/FMVR58FONdX.nPyJIjfB3ftsYRS.I1NMBztKuhHver8"
"0011J00001A5fkyQAB";" 7/16/2018";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000MTR1/pYy.D8CkkzOY2tVsgW.4ehD.fwVjQd4x6SPw.Cv08xw"
"0011J00001A6OEnQAN";" 3/12/2020";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000Ae6g/fNv0P2OFRrta7myxBY6w3CPU16aF4LpGM7NmVDrL8NU"
"0011J00001A6OEnQAN";" 4/18/2019";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000MmX9/OjvNb7x6aOjxR3L5ApEI.IYDIeFZa7Q0I.3Tua4aO1g"
"0011J00001A6OEnQAN";" 5/17/2018";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000MOHa/4Uou8CiPO6QRMbtxCnF5qhZBb6ZJ8yrnBWrwYtmImTs"
"0011J00001A6OEvQAN";" 10/28/2020";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000Uozc/cab8lNzdjsK6kaGru_TTU4rwPhN1wtEfpdXKxqQN7pQ"
"0011J00001A6OEvQAN";" 5/20/2019";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000MoH3/pnbeKjyYBoPajmp.3BnDT1ggDfGTxhwFIcn4Wv9RtmY"
"0011J00001A6OEvQAN";" 7/11/2018";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000MSgU/Qf5.g6ryzHE7_I4jflJDs_277C_MROggoA5Ocpmu0Jw"
"0011J00001A6OEwQAN";" 12/10/2020";"Supervisory";
"0011J00001A6OEwQAN";" 4/18/2019";"Supervisory";
"0011J00001A6OEwQAN";" 5/29/2018";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000Mobc/J5c_cRUXAehZI4AL31FxHQKlVcLwPWeeCJwTUom1i1g"
"0011J00001A6OF1QAN";" 10/6/2020";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000Unen/CYXdd3x82YISla33fOqBZZmpM7Vz1TnnATBjqscQlOA"
"0011J00001A6OF1QAN";" 5/21/2019";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000MoYs/m.qhANnIb5e4Unhc8meHuINlOn5og0wB9MlqDls0m9Q"
"0011J00001A6OF1QAN";" 7/26/2018";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000MU0L/KrYDSwgDpuUxE0cEVvnIBs8nrvuhtsL.aFrkwYKUNf8"
