"FacilityID";"TypeofRegulation";"Date";"Details";"Results"
"7000560867_1";" Licensing ";" 09/23/2019 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=7000560867&LocationNumber=1&DocumentNumber=5002354708"
"7000560867_1";" Licensing ";" 04/29/2019 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=7000560867&LocationNumber=1&DocumentNumber=5001637433"
"7000560867_1";" Licensing ";" 10/15/2018 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=7000560867&LocationNumber=1&DocumentNumber=5001291220"
"9000574749_1";" Licensing ";" 02/18/2021 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=9000574749&LocationNumber=1&DocumentNumber=5002839529"
"9000574749_1";" Licensing ";" 05/07/2020 ";" See Violations below";
"9000574749_1";" Licensing ";" 08/19/2019 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=9000574749&LocationNumber=1&DocumentNumber=5001849238"
"9000574749_1";" Licensing ";" 11/28/2018 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=9000574749&LocationNumber=1&DocumentNumber=5001517333"
"9000588679_1";" Licensing ";" 04/27/2021 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=9000588679&LocationNumber=1&DocumentNumber=5002952226"
"9000588679_1";" Licensing ";" 04/06/2020 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=9000588679&LocationNumber=1&DocumentNumber=5002345277"
"9000588679_1";" Licensing ";" 01/08/2020 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=9000588679&LocationNumber=1&DocumentNumber=5002176099"
"9000588679_1";" Licensing ";" 05/15/2019 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=9000588679&LocationNumber=1&DocumentNumber=5001638910"
"9000588679_1";" Licensing ";" 09/26/2018 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=9000588679&LocationNumber=1&DocumentNumber=5001349519"
"1000570671_1";" Licensing ";" 08/19/2021 ";" No violations found ***";
"1000570671_1";" Licensing ";" 06/24/2021 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=1000570671&LocationNumber=1&DocumentNumber=5003054432"
"1000570671_1";" Licensing ";" 02/04/2020 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=1000570671&LocationNumber=1&DocumentNumber=5002227012"
"1000570671_1";" Licensing ";" 06/12/2019 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=1000570671&LocationNumber=1&DocumentNumber=5001695947"
"1000570671_1";" Licensing ";" 11/28/2018 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=1000570671&LocationNumber=1&DocumentNumber=5001517343"
"9000588319_1";" Certification ";" 07/20/2021 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=9000588319&LocationNumber=1&DocumentNumber=5003089940"
"9000588319_1";" Certification ";" 07/17/2019 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=9000588319&LocationNumber=1&DocumentNumber=5001771170"
"2000589322_1";" Licensing ";" 03/05/2021 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=2000589322&LocationNumber=1&DocumentNumber=5002898140"
"2000589322_1";" Licensing ";" 09/23/2019 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=2000589322&LocationNumber=1&DocumentNumber=5001941587"
"2000589322_1";" Licensing ";" 06/11/2019 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=2000589322&LocationNumber=1&DocumentNumber=5001695918"
"2000589322_1";" Certification ";" 10/15/2018 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=2000589322&LocationNumber=1&DocumentNumber=5001285356"
"2000589322_1";" Licensing ";" 09/25/2018 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=2000589322&LocationNumber=1&DocumentNumber=5001521655"
"4000569814_2";" Licensing ";" 06/08/2021 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=4000569814&LocationNumber=2&DocumentNumber=5003066238"
"4000569814_2";" Licensing ";" 12/20/2019 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=4000569814&LocationNumber=2&DocumentNumber=5002157456"
"4000569814_2";" Licensing ";" 06/11/2019 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=4000569814&LocationNumber=2&DocumentNumber=5001695904"
"4000569814_2";" Licensing ";" 12/03/2018 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=4000569814&LocationNumber=2&DocumentNumber=5001517376"
"6000590296_1";" Certification ";" 01/13/2021 ";" No violations found ***";
"6000590296_1";" Certification ";" 01/12/2021 ";" No violations found ***";
"585500_1";" Licensing ";" 03/03/2021 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=585500&LocationNumber=1&DocumentNumber=5002825999"
"585500_1";" Licensing ";" 09/23/2019 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=585500&LocationNumber=1&DocumentNumber=5002247212"
"585500_1";" Licensing ";" 05/14/2019 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=585500&LocationNumber=1&DocumentNumber=5001657774"
"585500_1";" Licensing ";" 09/26/2018 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=585500&LocationNumber=1&DocumentNumber=5001349545"
"6000577816_21";" Licensing ";" 02/18/2021 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=6000577816&LocationNumber=21&DocumentNumber=5002796689"
"6000577816_21";" Licensing ";" 02/19/2020 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=6000577816&LocationNumber=21&DocumentNumber=5002257536"
"6000577816_21";" Licensing ";" 12/10/2019 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=6000577816&LocationNumber=21&DocumentNumber=5002122462"
"6000577816_21";" Licensing ";" 08/14/2019 ";" No violations found ***";
"6000577816_22";" Licensing ";" 02/18/2021 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=6000577816&LocationNumber=22&DocumentNumber=5002796665"
"6000577816_22";" Licensing ";" 02/19/2020 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=6000577816&LocationNumber=22&DocumentNumber=5002257200"
